section	code	gfs_code	text_name	text_thai	text_1	text_2	text_3	text_4	text_5
cover	-	-	-		-	-	-	-	-
intro	int01	-	intro	intro	อาการผมร่วงหัวล้าน อาจจะเกิดได้หลายสาเหตุ ทั้งระดับฮอร์โมนที่ไม่สมดุล ความเครียด การใช้ยาบางอย่าง แต่อาการผมร่วงหัวล้านที่เป็นปัญหาสำคัญอีกอย่างก็คือ “อาการหัวล้านจากกรรมพันธุ์ Androgenetic Alopecia” ซึ่งคืออาการหัวล้านที่มาจากพันธุกรรม หรือ DNA ที่มีรูปแบบความผิดปกติ ทำให้เกิดปัญหาผมร่วงผมบาง และศีรษะล้าน	โดยทั่วไป ผมร่วงหัวล้านกรรมพันธุ์คนมักคิดว่าเป็นปัญหาสำคัญในเฉพาะเพศชาย (อัตราการเกิดค่อนข้างสูง คือ มากกว่า 1 ใน 3 ของประชากรเพศชายทั้งหมด) แต่ที่จริงแล้ว ก็เกิดในเพศหญิงได้เช่นกัน คือ 10-40% ของประชากร (ขึ้นอยู่กับเชื้อชาติ)	การตรวจ DNA ช่วยป้องกันและแก้ไขปัญหาหัวล้านกรรมพันธุ์ได้อย่างไร เนื่องจากต้นเหตุของอาการหัวล้าน สามารถเกิดได้จากหลายสาเหตุ ทั้งกรรมพันธุ์ที่มีผลต่อฮอร์โมนโดยตรง (เช่นยีนที่ชื่อ AR) ความเครียด วัยทอง และแม้แต่การพร่องวิตามินและแร่ธาตุที่สำคัญต่อการเจริญเติบโตของเส้นผมจาก DNA ซึ่งเป็นสาเหตุโดยอ้อม การตรวจ DNA จะทำให้ทราบว่า สาเหตุที่แท้จริงของอาการผมบาง ผมร่วง และศีรษะล้านของแต่ละคน มีต้นเหตุที่แท้จริงจากอะไร และสามารถนำไปสู่การจัดรูปแบบการรักษา วิตามิน แบบแผนและระยะเวลาในการรักษาเฉพาะบุคคลได้อย่างแม่นยำขึ้น เห็นผลมากยิ่งขึ้น และยั่งยืนมากยิ่งขึ้น ท่านจะไม่ต้องใช้เวลาและสิ้นเปลืองเงินไปกับการรักษาแบบลองผิดลองถูก จนกระทั่งเกิดการท้อใจ และล้มเลิกไปในระหว่างการรักษาโดยยังไม่เห็นผลที่แท้จริง	-	-
intro	int02	-	intro	intro	ร่างกายของคนเรา ประกอบไปด้วยเซลล์ประมาณ 60 ล้านล้านเซลล์ โดยทุกเซลล์จะมีสารพันธุกรรมที่เรียกว่า DNA สำหรับเก็บรหัสที่จำเป็นต่อการดำรงชีวิต ซึ่งถ่ายทอดมาจากพ่อแม่และส่งต่อไปยังลูกหลานรุ่นต่อไปได้	ทำไมมนุษย์แต่ละคนถึงมีรูปร่างหน้าตาที่แตกต่างกัน ทำไมบางคนถึงป่วยง่าย ทำไมบางคนรับประทานยาแล้วไม่ตอบสนอง หรือมีอาการแพ้ยา ทำไมบางคนออกกำลังกายแล้วมีอาการบาดเจ็บง่ายกว่าคนอื่น ความแตกต่างเหล่านี้ส่วนหนึ่งมีผลมาจากปัจจัยทางพันธุกรรม	Single Nucleotide Polymorphisms (SNPs หรือ สนิปส์) คือความหลากหลายทางพันธุกรรมชนิดเบสเดี่ยวที่กระจายอยู่ทั่วทุกโครโมโซม โดยพบมากกว่า 1 % ของประชากร SNPs เป็นลักษณะเฉพาะบุคคลที่ถ่ายทอดทางพันธุกรรม โดย SNPs เหล่านี้เกี่ยวข้องกับการแสดงออกทางคลินิกของยีนที่แตกต่าง (genetic variation) ในแต่ละกลุ่มประชากร	จากการศึกษาวิจัยพบว่าความหลากหลายทางพันธุกรรมนี้ส่งผลให้มนุษย์แต่ละคนมีความแตกต่างกัน ทั้งด้านรูปร่างลักษณะภายนอก สุขภาพ ความเสี่ยงในการเกิดโรค (genetic susceptibility) รวมทั้งการตอบสนองต่อการรักษาด้วยยา (drug response) ที่แตกต่างกัน	การที่คุณรู้รหัสพันธุกรรมของคุณเองจะช่วยให้คุณสามารถออกแบบการใช้ชีวิต (Lifestyle) ที่เหมาะกับคุณ เพื่อสุขภาพที่ดีและมีความสุขกับการใช้ชีวิต
sum	-	-	-		-	-	-	-	-
info	-	-	-		-	-	-	-	-
info	inf01	NU001	Vitamin A	วิตามิน A	วิตามินเอ ช่วยในการเจริญของเซลล์ในร่างกาย รวมถึงเส้นผม และช่วยในการผลิต sebum จากต่อมใต้ผิวหนัง ซึ่งทำให้หนังศีรษะชุ่มชื้น และเส้นผมแข็งแรง นอกจากนั้นวิตามินเอยังช่วยในการมองเห็นในที่มืดหรือในที่แสงสว่างน้อย และมีบทบาทสำคัญต่อระบบภูมิคุ้มกันในร่างกายด้วย	เมื่อร่างกายขาดวิตามินเอ อาจส่งผลให้เส้นผมไม่แข็งแรง ผิวหนังแห้ง ขาดความชุ่มชื้น และมองเห็นลำบากในเวลากลางคืน	วิตามินเอพบได้ในเนื้อสัตว์ น้ำมันตับปลา เครื่องในสัตว์ ไข่แดง นมและผลิตภัณฑ์จากนม ผักและผลไม้ที่มีสีส้ม สีเหลือง และเขียวเข้ม เช่น แครอท ผักโขม มันฝรั่ง ฟักทอง คะน้า เป็นต้น	Vitamin A. NIH Office of Dietary Supplements. https://ods.od.nih.gov/factsheets/VitaminA-Consumer/.	-
info	inf02	NU005	Vitamin C	วิตามิน C	วิตามินซี หรือ กรดแอสคอร์บิก (Ascorbic Acid) มีฤทธิ์ต่อต้านอนุมูลอิสระที่มีประสิทธิภาพสูง มีความสำคัญในการสร้างคอลลาเจนเพื่อช่วยซ่อมแซมเนื้อเยื่อต่าง ๆ ในร่างกาย ซึ่งคอลลาเจนเป็นส่วนประกอบสำคัญของเส้นผมด้วย	เมื่อร่างกายขาดวิตามินซี อาจทำให้เส้นผมไม่แข็งแรง ผิวหนังและเล็บผิดปกติ ผิวแห้ง แผลหายช้า และเป็นโรคลักปิดลักเปิด (scurvy) ได้	แหล่งอาหารสำคัญ ได้แก่ ผลไม้รสเปรี้ยว เช่น ส้ม ผลไม้ตระกูลเบอร์รี่ ผักใบเขียว แคนตาลูป มันฝรั่ง มะเขือเทศ	Vitamin C. NIH Office of Dietary Supplements. https://ods.od.nih.gov/factsheets/VitaminC-Consumer/.	-
info	inf03	NU006	Vitamin D	วิตามิน D	วิตามินดี ช่วยในการดูดซึมและใช้แคลเซียมและฟอสฟอรัส ซึ่งจำเป็นต่อความแข็งแรงของกระดูกและฟัน วิตามินดีจะมีการเปลี่ยนแปลงในเซลล์ keratinocyte ที่สร้าง keratin ซึ่งพบในเส้นผม ผิว เล็บ	เมื่อร่างกายขาดวิตามินดี keratinocyte ในรากผมจะทำงานผิดปกติ ส่งผลต่อการงอกและการร่วงของเส้นผมได้ กรณีขาดวิตามินรุนแรง อาจทำให้ฟันผุ เป็นโรคกระดูกอ่อน และภาวะกระดูกพรุนในผู้สูงอายุได้	ร่างกายของเราจะได้รับวิตามินดีจากแสงแดด เพราะรังสี UV จากแสงแดดจะทำปฏิกิริยาผิวหนัง ก่อให้เกิดการสร้างวิตามินดีซึ่งจะถูกดูดซึมกลับเข้าสู่ร่างกาย นอกจากนั้นร่างกายยังได้รับวิตามินดีจากอาหาร เช่น น้ำมันตับปลา ปลาซาร์ดีน ปลาแซลมอน ปลาทูน่า ตับวัว ไข่แดง นม	Vitamin D. NIH Office of Dietary Supplements. https://ods.od.nih.gov/factsheets/VitaminD-Consumer/.	-
info	inf04	NU007	Vitamin E	วิตามิน E	วิตามินอี หรือ โทโคฟีรอล (Tocopherol) มีฤทธิ์ต่อต้านอนุมูลอิสระ ชะลอกระบวนการเสื่อมสภาพของเซลล์ ช่วยให้เส้นผมแข็งแรง และเพิ่มเส้นเลือดที่ไปเลี้ยงหนังศีรษะ	เมื่อร่างกายขาดวิตามินอี อาจทำให้เส้นผมไม่แข็งแรง การมองเห็นผิดปกติ การทำงานของระบบประสาทผิดปกติ เช่น เดินเซ เส้นประสาทผิดปกติ และภูมิต้านทานต่ำ	แหล่งอาหารที่สำคัญ ได้แก่ น้ำมันพืช น้ำมันดอกคำฝอย น้ำมันข้าวโพด ถั่ว เมล็ดทานตะวัน เมล็ดมะม่วงหิมพานต์ อัลมอนด์ กะหล่ำปลี ผักใบเขียว ผักขม อะโวคาโด (เฉพาะเนื้อ)	Vitamin E. NIH Office of Dietary Supplements. https://ods.od.nih.gov/factsheets/VitaminE-Consumer/.	-
info	inf05	NU009	Folate	โฟเลต	โฟเลต หรือวิตามินบี9 มีความสำคัญในการสังเคราะห์ดีเอ็นเอ โดยโฟเลตในรูปแบบที่สังเคราะห์ขึ้น เรียก กรดโฟลิค (folic acid) โฟเลตช่วยในการแบ่งเซลล์ต่างๆในร่างกาย ช่วยในการสร้างเม็ดเลือดแดง ทําให้เซลล์ประสาทไขสันหลังและเซลล์สมองเจริญเป็นปกติ	เมื่อร่างกายขาดโฟเลต อาจส่งผลให้เส้นผมไม่แข็งแรง อ่อนเพลีย ปวดศีรษะ เป็นโรคโลหิตจาง หญิงตั้งครรภ์ที่ขาดโฟเลตจะเสี่ยงต่อการเกิดลูกพิการแต่กำเนิด	แหล่งอาหารที่สำคัญ เช่น ตับ ผักใบเขียว บร็อคโคลี่ หน่อไม้ฝรั่ง กะหล่ำปลี ถั่ว ธัญพืช ผลไม้ เช่น ส้ม	Folate. NIH Office of Dietary Supplements. https://ods.od.nih.gov/factsheets/Folate-Consumer/.	-
info	inf06	NU011	Iron	ธาตุเหล็ก	ธาตุเหล็ก (iron) เป็นแร่ธาตุที่ช่วยในการสร้างเม็ดเลือดแดง โดยเป็นส่วนประกอบของฮีโมโกลบิน ซึ่งนำ oxygen ไปสู่เซลล์ต่างๆในร่างกาย รวมทั้งหนังศีรษะด้วย ธาตุเหล็กยังเป็นส่วนประกอบของโปรตีนหลายชนิด ช่วยในการเจริญเติบโตของร่างกาย และช่วยในระบบภูมิคุ้มกัน	เมื่อร่างกายขาดธาตุเหล็ก จะส่งผลให้ผมร่วง อ่อนเพลียง่าย เหนื่อยง่าย วิงเวียนศีรษะบ่อย ภูมิต้านทานต่ำ และเป็นโรคโลหิตจางได้	ธาตุเหล็ก พบมากในเนื้อสัตว์ อาหารทะเล ปลา เป็ด ไก่ ตับ ม้าม ไข่แดง ผักที่มีใบเขียวเข้ม เช่น ใบตำลึง ผักปวยเล้ง ผักโขม ถั่วแดง ถั่วดำ	Iron. NIH Office of Dietary Supplements. https://ods.od.nih.gov/factsheets/Iron-Consumer/.	-
info	inf07	NU013	Omega 3	โอเมก้า 3	โอเมก้า 3 เป็นกรดไขมันไม่อิ่มตัวเชิงซ้อน (Polyunsaturated fatty acid, PUFA) มีอยู่สามชนิดที่สำคัญ คือ กรดไขมันแอลฟาไลโนเลนิก (Alpha linolenic acid : ALA), กรดไขมันอีพีเอ (Eicosapentaenic acid : EPA) และกรดไขมันดีเอชเอ (Docosahexaenoic acid : DHA)	โอเมก้า 3 เป็นส่วนประกอบที่สำคัญของเยื่อหุ้มเซลล์ และช่วยในการทำงานในระบบต่างๆของร่างกาย นอกจากนั้นยังช่วยลดการอักเสบของรากผม กระตุ้นการเจริญของเส้นผมและลดผมบางด้วย เมื่อร่างกายขาดโอเมก้า 3 อาจส่งผลให้ ผิวหนังสาก หยาบ หรือมีลักษณะลอกเป็นเกล็ด มีผื่นแดง บวม และระคายเคือง	แหล่งอาหารที่สำคัญ เช่น ปลาทะเล เช่น ปลาแซลมอน ปลาแม็คเคอเรล ปลาทูน่า ปลาน้ำจืดบางชนิด เช่น ปลาสวาย ปลาช่อน ปลาดุก เมล็ดวอลนัท ผักใบเขียว บรอคโคลี่ ดอกกะหล่ำ ถั่วเหลือง	Omega-3 Fatty Acids. NIH Office of Dietary Supplements. https://ods.od.nih.gov/factsheets/Omega3FattyAcids-Consumer/.	-
