category	number	code	trait	property	low	med	high	low_rec	medhigh_rec
diet	13	DE013	Reduced antioxidant response (diet)	bad	normal need	higher need	higher need	-	-
love	2	LV002	Sildenafil (Viagra) response (better response)	good	lower response	lower response	normal response	-	-
nutrition	1	NU001	Reduced production Vitamin A	bad	normal need	higher need	higher need	255-112 mgg	1000 -512 mgg
nutrition	2	NU002	Low Vitamin B2 level	bad	normal need	higher need	higher need	255-113 mgg	1000 -513 mgg
nutrition	3	NU003	Low Vitamin B6 level	bad	normal need	higher need	higher need	255-114 mgg	1000 -514 mgg
nutrition	4	NU004	Low Vitamin B12 level	bad	normal need	normal need	higher need	255-115 mgg	1000 -515 mgg
nutrition	5	NU005	Low Vitamin C level	bad	normal need	higher need	higher need	255-116 mgg	1000 -516 mgg
nutrition	6	NU006	Low Vitamin D level	bad	normal need	higher need	higher need	255-117 mgg	1000 -517 mgg
nutrition	7	NU007	Low Vitamin E level	bad	normal need	normal need	higher need	255-118 mgg	1000 -518 mgg
nutrition	8	NU008	Decreased serum calcium concentration	bad	normal need	normal need	higher need	255-119 mgg	1000 -519 mgg
nutrition	9	NU009	Low folate level	bad	normal need	higher need	higher need	255-120 mgg	1000 -520 mgg
nutrition	10	NU010	Low iodine (reduced oxidative response?)	bad	normal need	higher need	higher need	255-121 mgg	1000 -521 mgg
nutrition	11	NU011	Decreased iron uptake (hemochromatosis)	bad	normal need	higher need	higher need	255-122 mgg	1000 -522 mgg
nutrition	12	NU012	Decreased magnesium uptake (hypomagnesemia)	bad	normal need	higher need	higher need	255-123 mgg	1000 -523 mgg
nutrition	13	NU013	Decreased omega-3 uptake	bad	normal need	higher need	higher need	255-124 mgg	1000 -524 mgg
nutrition	14	NU014	Decreased serum phosphorus concentration	bad	normal need	higher need	higher need	255-125 mgg	1000 -525 mgg
nutrition	15	NU015	Decreased serum selenium concentration	bad	normal need	normal need	higher need	255-126 mgg	1000 -526 mgg
nutrition	16	NU016	Low Zinc level	bad	normal need	normal need	higher need	255-127 mgg	1000 -527 mgg
nutrition	17	NU017	Low Zinc level	bad	normal need	normal need	higher need	255-128 mgg	1000 -528 mgg
skin	8	SK008	Antioxidant response (skin)	good	reduced response	reduced response	normal response	-	-
sport	1	SP001	Increased aerobic Capacity (vo2max)	good	low capacity	mod capacity	high capacity	-	-
sport	2.1	SP002	Beneficial for Strength Training	good	-1	0	1	-	-
sport	2.2	SP002	Lean body mass	good	-1	0	1	-	-
sport	2.3	SP002	Enhanced muscle power	good	-1	0	1	-	-
sport	2.4	SP002	Exercise-associated muscle cramps	bad	1	0	-1	-	-
sport	3.1	SP003	Risk of muscle injury	bad	-1	0	1	-	-
sport	3.2	SP003	Risk of Achilles Tendon Injury	bad	-1	0	1	-	-
sport	3.3	SP003	Risk of ACL Injury	bad	-1	1	1	-	-
sport	3.4	SP003	Risk of ankle injury	bad	-1	0	1	-	-
sport	4	SP004	Increased flexibility	good	low flex	mod flex	high flex	-	-
sport	5.1	SP005	Obesity (sport)	bad	-1	0	1	-	-
sport	5.2	SP005	Faster metabolism	good	1	0	-1	-	-
sport	5.3	SP005	Decreased Weight Loss Response To Exercise	bad	-1	0	1	-	-
sport	5.4	SP005	Enhanced loss of body fat	good	1	0	-1	-	-
sport	5.5	SP005	Weight Loss-Regain	bad	-1	0	1	-	-
sport	7.1	SP007	Recovery efficiency	good	-1	0	1	-	-
sport	7.2	SP007	Fast lactate clearance (delayed fatigue)	good	-1	0	1	-	-
sport	8	SP008	Hypertension (exercised recommended)	bad	normal	high - exer rec	high - exer rec	-	-
sport	9	SP009	Enhanced insulin sensitivity Response To Exercise	good	normal	high	high	-	-
sport	10	SP010	Enhanced HDL (good) cholesterol Response To Exercise	good	normal	high	high	-	-
stress	1	SS001	Stress response (increased performance when stressed)	good	poor performance	mod performance	good performance	-	-
skin	1	SK011	Dry Skin	bad	-	-	-	• ดื่มน้ำให้เพียงพอ 2-3 ลิตร/วัน ^• ไม่อยู่ในสถานที่ที่แห้ง เย็นจัด หรือ ร้อนจัด หลีกเลี่ยงภาวะที่ทำให้เหงื่อออกมาก^• ไม่อาบน้ำอุ่น น้ำร้อนหรือเย็นจัด ไม่แช่น้ำนานเกินไป^• ควรใช้สบู่อ่อนๆ ที่มีฤทธิ์เป็นกลาง หรือ กรดอ่อนๆ ^• หลีกเลี่ยงการใช้หรือสัมผัสกับสารระคายเคือง^• เลี่ยงการสครัป การขัดผิวบ่อยๆ ^• ทาครีมบำรุง หรือโลชั่นสม่ำเสมอ  แนะนำทาหลังอาบน้ำทันที ถ้าผิวหนังยังแห้งมากควรทาเพิ่ม สามารถทาได้วันละหลายครั้ง	• ดื่มน้ำให้เพียงพอ 2-3 ลิตร/วัน ^• ไม่อยู่ในสถานที่ที่แห้ง เย็นจัด หรือ ร้อนจัด หลีกเลี่ยงภาวะที่ทำให้เหงื่อออกมาก^• ควรใช้สบู่อ่อนๆ ที่มีฤทธิ์เป็นกลาง หรือ กรดอ่อนๆ หลีกเลี่ยง Foaming cleanser   หรือแนะนำใช้ fragrance-free non-soap cleanser เช่น syndet ^• เลี่ยงการสครัป การขัดผิว^• ทาครีมบำรุง หรือโลชั่น โดยแนะนำที่มีส่วนประกอบของ Ceramides, fatty acids, cholesterol, MLE technology ^• หากผิวแห้งมากสามารถใช้ plastic wrap หรือ แผ่น mask พันเฉพาะจุด หลังจากทาครีมบำรุงแล้ว เพื่อช่วยลดการสูญเสียน้ำทางผิวหนัง และช่วยเพิ่มการดูดซึมของผลิตภัณฑ์
